----------------------------------------------------------------------------------------------
Bean传感器AX 3DS

Mac Id : 00158D00000E09D4
网络ID : 0002
Pan Id : 3900
传感器ID : 1
传感器标签 : Ch_Y

比率 : 1
偏移量 : 0
单位 : g

DATE_FORMAT : yyyy/M/d tt hh:mm:ss
日期 : 2020/2/1 上午 12:10:20

数据采集周期 : 304
数据采集持续时间 : 300
抽样率 : 400
截止频率 : 8
----------------------------------------------------------------------------------------------
测量目录;测量值
1601;0.0535
1602;-0.0505
1603;0.122
1604;0.0327
1605;0.0089
1606;-0.0118
1607;-0.0237
1608;0.1041
1609;0.1369
1610;0.0178
1611;-0.0237
1612;-0.0267
1613;0.0208
1614;0.0327
1615;0.0089
1616;-0.0416
1617;0.0089
1618;0.0624
1619;0.1369
1620;-0.0148
1621;-0.0832
1622;-0.1219
1623;0.0356
1624;0.2589
1625;-0.235
1626;0.0356
1627;0.0267
1628;-0.0207
1629;0.1756
1630;-0.0326
1631;-0.0148
1632;0.0952
1633;0.0327
1634;-0.0683
1635;0.0535
1636;0.0684
1637;-0.0029
1638;-0.0981
1639;0.0356
1640;0.0654
1641;0.0059
1642;0.1398
1643;0.0505
1644;-0.0118
1645;0.1815
1646;0.1636
1647;0.1309
1648;0.0267
1649;0.0654
1650;0.0356
1651;0.0714
1652;0.0297
1653;-0.0118
1654;0.0476
1655;-0.0058
1656;-0.0118
